"GeneID","GeneSymbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0039155","Kal1",730.567672556595,4.61874234413356,0.169123974050063,27.3098025875761,3.24437644720595e-164,2.7191119004033e-160
"FBgn0025111","Ant2",1501.4479295742,-2.89994566275403,0.127357563247363,-22.7701095153773,9.07190677591494e-115,3.80158253444716e-111
"FBgn0029167","Hml",3706.02400785474,2.19691201694356,0.0979153735864202,22.4368445574542,1.72026094782314e-111,4.80583566790191e-108
"FBgn0003360","sesB",4342.8320615483,3.17954143621606,0.143567713643974,22.1466328014448,1.12413341964898e-108,2.35534054751953e-105
"FBgn0035085","CG3770",638.219335651327,2.56024247676475,0.137812592607111,18.5777107035765,4.86834502378315e-77,8.16031992886532e-74
"FBgn0039827","CG1544",261.911169759448,4.16242558317506,0.232594159728179,17.8956582058616,1.27481657618067e-71,1.78070628749503e-68
"FBgn0034736","gas",225.870671605661,3.51131914967381,0.214762789980295,16.3497557002122,4.36727388133294e-60,5.22887462849305e-57
"FBgn0029896","CG3168",489.877246619059,2.44494512310761,0.152214942570411,16.062451437556,4.6769562961537e-58,4.89969633975802e-55
"FBgn0000071","Ama",342.246487725455,-2.67972490247511,0.182417471455829,-14.6900671360528,7.46398121592233e-49,6.95062517451612e-46
"FBgn0051092","LpR2",153.068561614784,-2.32790711365485,0.17722546145007,-13.1352859493651,2.06709113281752e-39,1.73242907841436e-36
"FBgn0034434",NA,114.623344446462,3.64247959676097,0.278345860280182,13.0861640733384,3.95061039941367e-39,3.01000597795327e-36
"FBgn0040091","Ugt317A1",1106.50895128494,1.57529169636974,0.121495837838982,12.9658079189302,1.91205104624e-38,1.33540831821145e-35
"FBgn0027279","l(1)G0196",2954.90726348927,1.1920221936651,0.0945355859532367,12.6092431928729,1.87787588465694e-36,1.21065213763922e-33
"FBgn0038832","CG15695",301.911362068779,2.54101083441457,0.202203747701802,12.566586244296,3.2234446795905e-36,1.929692132832e-33
"FBgn0034897","Sesn",892.485155473449,1.9213949694105,0.158870159637217,12.0941212232558,1.13449709802557e-33,6.33881345236819e-31
"FBgn0003501",NA,277.460809952997,-2.1536933783521,0.180459740966103,-11.9344811580808,7.82452425986495e-33,4.09858361387051e-30
"FBgn0039419","CG12290",1564.28099570834,1.16037902850677,0.0973742525660305,11.9166925334796,9.68786513237752e-33,4.77611751026212e-30
"FBgn0035189","CG9119",215.654948171641,-2.97510850783947,0.252327963350864,-11.7906413079654,4.36206700111792e-32,2.03102686313163e-29
"FBgn0033764",NA,65.2059280189589,-3.41163802984045,0.294546024217528,-11.5826993044757,5.04325948524029e-31,2.22460830241047e-28
"FBgn0040827","CG13315",215.979868086714,1.98984622678333,0.176691027052023,11.2617276608928,2.02744474927924e-29,8.49600722185464e-27
"FBgn0032405","firl",79.6159906120173,-2.67273833243316,0.239994096525525,-11.1366836565036,8.31585539635558e-29,3.3188182893741e-26
"FBgn0052407","CG32407",187.050167913661,2.20287106417266,0.198235173415782,11.1124127278478,1.09169314608389e-28,4.15885466242232e-26
"FBgn0033913","CG8468",5212.96176538917,1.16131178438345,0.105699560751632,10.9869121132134,4.4178289245573e-28,1.60981844420499e-25
"FBgn0023479","teq",3091.78196454293,1.52534951812434,0.139334580857968,10.9473865621286,6.83924553239161e-28,2.38832153362392e-25
"FBgn0026562","SPARC",43909.4443835314,2.36245938400137,0.226053934665055,10.4508660178901,1.45193297978173e-25,4.86746012142029e-23
"FBgn0034010","CG8157",547.240149120962,1.45171036301933,0.140146922212416,10.3584890777624,3.82963525689833e-25,1.23446819569481e-22
"FBgn0001224","Hsp23",598.932007347051,-1.48584672214146,0.143887746400028,-10.3264298685352,5.35154329401477e-25,1.66115867952362e-22
"FBgn0063649","CG6006",646.192411101866,1.30932543550249,0.128786751370394,10.1666159101788,2.79449268048464e-24,8.36451541255063e-22
"FBgn0037754","CG8500",269.747253760138,2.34185557725055,0.233213600623167,10.0416766903513,9.9960385085622e-24,2.88885512897447e-21
"FBgn0261552","ps",5128.6158935707,1.89612026758319,0.190764455965726,9.93958889240806,2.79980204414384e-23,7.82171364398986e-21
"FBgn0085359","CG34330",68.6061082175759,4.91772394961462,0.49495504742198,9.93569815123423,2.91129347494502e-23,7.87082277855298e-21
"FBgn0003748","Treh",1095.97418687562,-1.07326651202989,0.108377368145298,-9.90305015149469,4.03769023543234e-23,1.0574963082237e-20
"FBgn0024288","Sox100B",58.8494875253442,4.58583398178688,0.46474718814705,9.86737327033786,5.76546089770609e-23,1.46425235708105e-20
"FBgn0039109","CG10365",475.403846877735,1.30354637155816,0.132358551639424,9.8485995457954,6.95056756716037e-23,1.71331490530503e-20
"FBgn0024315","Picot",92.0840267409837,2.28669876186144,0.233119622047131,9.8091217795434,1.0285983623193e-22,2.46305224988517e-20
"FBgn0016715","Reg-2",150.872486038183,1.97364591273484,0.203890846965661,9.67991423895175,3.67023736161092e-22,8.54451647990586e-20
"FBgn0050147","Hil",973.913541972156,0.951778704472289,0.100837043716421,9.4387803270882,3.77143691252799e-21,8.54281426051273e-19
"FBgn0040099","lectin-28C",910.08257602036,1.78114029541109,0.189789331495217,9.38482833243961,6.30190145988289e-21,1.38990095092838e-18
